metric,original_value,drifted_value,absolute_change
accuracy,0.9464027295101881,0.7705056565507188,-0.17589707295946932
balanced_accuracy,0.9013293845037066,0.8232127655812389,-0.07811661892246768
precision_churn,0.6567626686110098,0.2667702301934755,-0.38999243841753434
recall_churn,0.8463706835799859,0.8874794456189805,0.041108762038994606
f1_churn,0.7396079236374833,0.41022856832618493,-0.32937935531129836
roc_auc,0.9654362142124193,0.9231909762366631,-0.04224523797575619
average_precision,0.8426263904730471,0.715311346718309,-0.12731504375473812
log_loss,0.2303287912644131,0.5021620237903421,0.27183323252592906
mean_probability,0.22948840713784613,0.41260807014145173,0.1831196630036056
predicted_churn_rate,0.11589855179625855,0.2991898087018982,0.18329125690563966
