engineered_feature,mean_absolute_shap
latest_payment_method_CharGramCountVectorizer_9,2.3106914
latest_payment_method_CharGramCountVectorizer_33,1.7218112
days_since_last_transaction_MeanImputer,1.5255946
latest_payment_method_CharGramCountVectorizer_11,1.5119387
latest_payment_method_CharGramCountVectorizer_20,1.4769737
latest_payment_method_CharGramCountVectorizer_13,1.1131339
latest_payment_method_CharGramCountVectorizer_23,1.0628151
transaction_history_days_MeanImputer,1.04547
plan_list_price_mean_MeanImputer,0.91647625
latest_payment_method_CharGramCountVectorizer_28,0.6271348
latest_payment_method_CharGramCountVectorizer_15,0.5386742
latest_payment_method_CharGramCountVectorizer_26,0.50275457
days_since_last_activity_MeanImputer,0.49511316
latest_payment_method_CharGramCountVectorizer_1,0.4882259
latest_payment_method_CharGramCountVectorizer_14,0.44105932
latest_payment_method_CharGramCountVectorizer_17,0.43579492
latest_payment_method_CharGramCountVectorizer_4,0.38919023
latest_payment_method_CharGramCountVectorizer_22,0.32553366
actual_amount_paid_mean_MeanImputer,0.32290068
latest_payment_method_CharGramCountVectorizer_19,0.31116393
activity_history_days_MeanImputer,0.31043103
registered_via_CharGramCountVectorizer_0,0.25180498
tx_count_MeanImputer,0.24491917
latest_payment_method_CharGramCountVectorizer_2,0.24113749
has_activity_history_ModeCatImputer_LabelEncoder,0.21486926
membership_age_days_MeanImputer,0.21394737
latest_payment_method_CharGramCountVectorizer_30,0.20131879
latest_payment_method_CharGramCountVectorizer_8,0.1777042
num_100_mean_per_record_MeanImputer,0.15026134
latest_payment_method_CharGramCountVectorizer_21,0.14662664
num_50_mean_per_record_MeanImputer,0.14652272
num_985_mean_per_record_MeanImputer,0.13834159
log_count_MeanImputer,0.12469282
num_75_mean_per_record_MeanImputer,0.10411951
registered_via_CharGramCountVectorizer_3,0.101956174
city_CharGramCountVectorizer_15,0.100191586
city_CharGramCountVectorizer_0,0.09684778
total_secs_mean_per_record_MeanImputer,0.09639831
num_unq_mean_per_record_MeanImputer,0.090040274
latest_payment_method_CharGramCountVectorizer_5,0.086919315
registration_month_MeanImputer,0.08570074
city_CharGramCountVectorizer_18,0.0826703
payment_plan_days_mean_MeanImputer,0.07934611
city_CharGramCountVectorizer_21,0.075205155
latest_payment_method_CharGramCountVectorizer_27,0.07254467
num_25_mean_per_record_MeanImputer,0.07200989
is_auto_renew_mean_MeanImputer,0.06694861
city_CharGramCountVectorizer_9,0.062243454
latest_payment_method_CharGramCountVectorizer_29,0.05617806
latest_payment_method_CharGramCountVectorizer_25,0.05406771
city_CharGramCountVectorizer_7,0.050268147
city_CharGramCountVectorizer_16,0.046646707
registered_via_CharGramCountVectorizer_1,0.038006704
gender_CharGramCountVectorizer_2,0.037519917
city_CharGramCountVectorizer_6,0.03748415
city_CharGramCountVectorizer_19,0.027474962
city_CharGramCountVectorizer_5,0.020602632
bd_missing_ModeCatImputer_LabelEncoder,0.018161437
latest_payment_method_CharGramCountVectorizer_7,0.017798796
city_CharGramCountVectorizer_3,0.015270853
city_CharGramCountVectorizer_4,0.014072568
city_CharGramCountVectorizer_8,0.013552633
registered_via_CharGramCountVectorizer_4,0.011565783
city_CharGramCountVectorizer_13,0.009201746
registered_via_CharGramCountVectorizer_2,0.008806616
city_CharGramCountVectorizer_20,0.00833729
city_CharGramCountVectorizer_2,0.0082997745
city_CharGramCountVectorizer_12,0.007550452
gender_CharGramCountVectorizer_1,0.0052019954
gender_CharGramCountVectorizer_0,0.003910541
city_CharGramCountVectorizer_17,0.0031746072
latest_payment_method_CharGramCountVectorizer_16,0.00094697287
city_CharGramCountVectorizer_14,0.0007398849
latest_payment_method_CharGramCountVectorizer_24,0.0006126525
latest_payment_method_CharGramCountVectorizer_10,0.0
latest_payment_method_CharGramCountVectorizer_6,0.0
latest_payment_method_CharGramCountVectorizer_0,0.0
registration_missing_ModeCatImputer_LabelEncoder,0.0
city_CharGramCountVectorizer_1,0.0
registered_via_CharGramCountVectorizer_5,0.0
latest_payment_method_CharGramCountVectorizer_12,0.0
registration_year_MeanImputer,0.0
has_transaction_history_ModeCatImputer_LabelEncoder,0.0
latest_payment_method_CharGramCountVectorizer_32,0.0
latest_payment_method_CharGramCountVectorizer_31,0.0
has_member_profile_ModeCatImputer_LabelEncoder,0.0
city_CharGramCountVectorizer_10,0.0
city_CharGramCountVectorizer_11,0.0
latest_payment_method_CharGramCountVectorizer_18,0.0
latest_payment_method_CharGramCountVectorizer_3,0.0
