feature,mean_absolute_shap
latest_payment_method,0.10308980429484363
days_since_last_transaction,0.07951838496328091
transaction_history_days,0.03250628262984231
days_since_last_activity,0.031972528145125016
plan_list_price_mean,0.01864615359474156
payment_plan_days_mean,0.014702655129573828
has_activity_history,0.014410827813718835
tx_count,0.011589946020201575
actual_amount_paid_mean,0.011205971093091412
log_count,0.0109563519905162
is_auto_renew_mean,0.007627560973111192
membership_age_days,0.00617291089668901
activity_history_days,0.005884746201403085
has_transaction_history,0.0038348982166759526
city,0.002962214717789301
registration_month,0.0021409255727107405
num_25_mean_per_record,0.0020066152222264
registered_via,0.0019968175442877075
num_100_mean_per_record,0.001953791266075306
gender,0.0018704223837642106
num_unq_mean_per_record,0.0018369926594982524
num_75_mean_per_record,0.001542575536030646
num_50_mean_per_record,0.0014299047269294195
bd_missing,0.001427039913483537
num_985_mean_per_record,0.0013296874000300997
total_secs_mean_per_record,0.0012084824383395728
registration_year,0.0003230488958015704
registration_missing,7.049743393879706e-05
has_member_profile,4.8675065481164935e-05
