original_feature,mean_absolute_shap
latest_payment_method,0.08581403516095679
tx_count,0.04285297522102696
transaction_history_days,0.04260442209207655
has_transaction_history,0.04222107236512991
days_since_last_transaction,0.03690430014599169
is_auto_renew_mean,0.034962819076037224
days_since_last_activity,0.029032545154734277
plan_list_price_mean,0.026989988914416386
actual_amount_paid_mean,0.022131187064741393
payment_plan_days_mean,0.02198179103445435
registered_via,0.020296502466384068
activity_history_days,0.015507869426663252
has_activity_history,0.01231169873125219
log_count,0.007863912463718179
bd_missing,0.006363221359581494
membership_age_days,0.005612601808884534
gender,0.005171489730358878
city,0.005000012622163244
num_100_mean_per_record,0.004846256353140881
total_secs_mean_per_record,0.0040622589171309545
registration_month,0.004062193375030189
registration_year,0.003953197320426862
num_unq_mean_per_record,0.0038933296257768037
num_25_mean_per_record,0.0030253163206041844
num_985_mean_per_record,0.0026395476768817983
num_75_mean_per_record,0.002480094896260154
num_50_mean_per_record,0.002149193870212007
has_member_profile,0.0006175840915601548
registration_missing,0.00046054267611062656
